case_key,p,h_nm,method,M_per_direction,MPI,polarization,status,data_identity,source_sha,elements,fe_dofs,external_aux_dofs,modal_unknowns,total_rows,assembled_nnz,factor_nnz,R_total,T_total,A_balance,A_volume,R00_s,R00_p,R00_total,T00_s,T00_p,T00_total,true_relative_residual,assembly_seconds,factorization_seconds,solve_seconds,total_seconds,peak_memory_gib,swap_bytes,full3d_hybrid_closure_status,evidence_path
case093_p3_h5_full3d,3,5.0,Full3D,,8,s,full3d_reference_pass,measured_case093,06e0ee1067a6cf4764127a66a7db7cca3ce093d8,1680,145863,80,,145943,35566727.0,35441847.0,0.001090107012034979,0.6006224782934476,0.39828741469451745,0.39828741469453954,0.001080583369073092,4.009447767295303e-27,0.001080583369073092,0.6005955284033456,1.6779082897509595e-27,0.6005955284033456,6.982003178592007e-12,85.23616942499939,,57.857692521007266,149.65782408499217,9.04007339477539,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_full_mpi8_06e0ee1.json
case093_p3_h5_hybrid,3,5.0,Hybrid,160,8,s,measured_shard_pass,measured_case093,e0917859aa53cd6cff6bc3bc411b29255aeac9e2,,43614,,320,44014,,165491291.0,0.0010900956852670917,0.6006223682212232,0.39828753609350975,0.3982875360956707,0.0010805835852178024,1.279185189252886e-26,0.0010805835852178024,0.6005954463633879,3.880810057864711e-26,0.6005954463633879,1.0554725785587978e-11,,,,149.65782408499217,4.908237457275391,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_hybrid_m160_mpi8_e091785_v3.json
case093_p3_h3_full3d,3,3.0,Full3D,,8,s,full3d_reference_pass,measured_case093,3a1bc99c469b5ac053ddaf53c68ebba63ace9632,7776,656325,80,,656405,157785425.0,157432833.0,0.0007894679573742296,0.6025149841382069,0.39669554790441885,0.39669554790437317,0.0007803098342598647,5.812092887156536e-27,0.0007803098342598647,0.602487298731328,8.499034348950002e-27,0.602487298731328,8.489277332587551e-11,393.8585427210055,,1312.3315092840057,1726.3617402129894,44.06867218017578,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p3_h3_full_mpi8_3a1bc99_s.json
case093_p3_h3_hybrid,3,3.0,Hybrid,160,8,s,measured_shard_pass,measured_case093,8438cca405d0fdea70c77fe556bde274552f4dad,,223770,,320,224170,,1307605045.0,0.0007894673342924205,0.6025149786987333,0.3966955539669743,0.3966955539703708,0.0007803098293757756,3.3761505020809106e-25,0.0007803098293757756,0.602487294569993,9.086860079687857e-26,0.602487294569993,6.7184494022399546e-12,,,,1726.3617402129894,14.271553039550781,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p3_h3_hybrid_m160_mpi8_8438cca_s.json
case093_p4_h10_full3d,4,10.0,Full3D,,8,s,full3d_reference_pass,measured_case093,e0917859aa53cd6cff6bc3bc411b29255aeac9e2,252,53084,80,,53164,24730144.0,24666128.0,0.0018823172152018387,0.5966195196222404,0.4014981631625578,0.40149816316260045,0.0018721605063257965,7.086006484407543e-27,0.0018721605063257965,0.596594151943521,2.4961411727001297e-27,0.596594151943521,4.626759538140114e-12,97.6595182660094,,12.212830074990052,115.52464398999291,5.639560699462891,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p4_h10_full_mpi8_e091785.json
case093_p4_h10_hybrid,4,10.0,Hybrid,160,8,s,measured_shard_pass,measured_case093,df6d56fd40d844bf955af775278b453475f5416d,,16216,,320,16616,,55462256.0,0.0018823476948546857,0.596619394643406,0.4014982576617393,0.40149825779520804,0.0018721550084031102,2.0509577462974442e-26,0.0018721550084031102,0.5965940567007038,3.815822179919403e-27,0.5965940567007038,2.1356972100396497e-12,,,,115.52464398999291,3.5176162719726562,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p4_h10_hybrid_m160_mpi8_df6d56f.json
case093_p4_h7p5_full3d,4,7.5,Full3D,,8,s,full3d_reference_pass,measured_case093,e0917859aa53cd6cff6bc3bc411b29255aeac9e2,720,147844,80,,147924,68065896.0,67937008.0,0.0008024690153384762,0.602429772906308,0.3967677580783536,0.3967677580783896,0.0007932832857326542,1.581523232873962e-27,0.0007932832857326542,0.6024021485684287,8.001057014050193e-27,0.6024021485684287,1.2715167394801048e-11,280.79406987100083,,55.07394005799142,345.38403413200285,12.724395751953125,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p4_h7p5_full_mpi8_e091785.json
case093_p4_h7p5_hybrid,4,7.5,Hybrid,160,8,s,measured_shard_pass,measured_case093,df6d56fd40d844bf955af775278b453475f5416d,,61064,,320,61464,,197474720.0,0.0008024649692925503,0.60242975678467,0.3967677782460374,0.3967677782134812,0.0007932832271225856,2.2159726525096255e-27,0.0007932832271225856,0.6024021367616441,4.163419349748906e-27,0.6024021367616441,5.3001099036577136e-12,,,,345.38403413200285,5.9671173095703125,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p4_h7p5_hybrid_m160_mpi8_df6d56f.json
case093_p4_h5_full3d,4,5.0,Full3D,,8,s,full3d_reference_pass,measured_case093,e0917859aa53cd6cff6bc3bc411b29255aeac9e2,1680,339892,80,,339972,155421000.0,155205040.0,0.0007663133771040101,0.602677530502972,0.396556156119924,0.3965561561199801,0.0007571876472127602,3.2978283345213815e-28,0.0007571876472127602,0.6026497804854626,2.1155321061579645e-26,0.6026497804854626,2.4014742229534507e-11,641.2425100559922,,258.6268115809944,917.4704428250116,28.888458251953125,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p4_h5_full_mpi8_e091785.json
case093_p4_h5_hybrid,4,5.0,Hybrid,160,8,s,measured_shard_pass,measured_case093,df6d56fd40d844bf955af775278b453475f5416d,,100520,,320,100920,,565926400.0,0.0007663132345365891,0.6026775295886454,0.396556157176818,0.3965561571800906,0.0007571876307447437,8.313628536129953e-26,0.0007571876307447437,0.6026497797472361,5.0169726658647355e-26,0.6026497797472361,4.082573238266721e-12,,,,917.4704428250116,9.205917358398438,0,same_degree_closure_pass,benchmarks/artifacts/task034/phase_f/records/p4_h5_hybrid_m160_mpi8_df6d56f.json
m_funnel_p3_h3_m80,3,3.0,Hybrid,80,4,s,p3_h3_m_funnel_pass,measured_mode_funnel,22ee479b65319f3f57a10dffe4d3ee6ae514e055,,223770,,160,224010,,1286075117.0,0.0007894673348169295,0.6025149787118266,0.39669555395335654,0.3966955550824177,0.0007803098299054879,1.656714776312776e-26,0.0007803098299054879,0.6024872945830837,3.6413952284052896e-27,0.6024872945830837,6.761524349209906e-12,,,,881.9311115510063,8.69759750366211,0,funnel_row,/home/Projects/MyFEniCS/benchmarks/artifacts/task034/phase_d/records/p3_h3_hybrid_m80_mpi4_22ee479_final.json
m_funnel_p3_h3_m120,3,3.0,Hybrid,120,4,s,p3_h3_m_funnel_pass,measured_mode_funnel,22ee479b65319f3f57a10dffe4d3ee6ae514e055,,223770,,240,224090,,1286075117.0,0.0007894673343026732,0.6025149786986066,0.3966955539670908,0.3966955539791123,0.0007803098293885453,1.50450477779107e-26,0.0007803098293885453,0.6024872945698623,2.575756607602997e-25,0.6024872945698623,7.631658819845098e-12,,,,1002.9709268649967,9.805519104003906,0,funnel_row,/home/Projects/MyFEniCS/benchmarks/artifacts/task034/phase_d/records/p3_h3_hybrid_m120_mpi4_22ee479_repeat2.json
m_funnel_p3_h3_m160,3,3.0,Hybrid,160,4,s,p3_h3_m_funnel_pass,measured_mode_funnel,22ee479b65319f3f57a10dffe4d3ee6ae514e055,,223770,,320,224170,,1286075117.0,0.0007894673342879976,0.6025149786980258,0.3966955539676862,0.39669555397005357,0.000780309829370082,1.4451218810997273e-25,0.000780309829370082,0.6024872945692797,4.106983156212081e-26,0.6024872945692797,3.902520395568176e-11,,,,1113.835857654005,10.762290954589844,0,funnel_row,/home/Projects/MyFEniCS/benchmarks/artifacts/task034/phase_d/records/p3_h3_hybrid_m160_mpi4_22ee479_formal_final.json
m_funnel_p4_h5_m80,4,5.0,Hybrid,80,4,s,p4_h5_m_funnel_pass,measured_mode_funnel,a6f5a0de0a64d4af46a198878fa21ff7298f38d0,,100520,,160,100760,,562270960.0,0.0007663132350453662,0.6026775296016867,0.39655615716326786,0.39655615829615465,0.0007571876312584527,1.4182205152423585e-26,0.0007571876312584527,0.6026497797602799,6.0818996189886926e-27,0.6026497797602799,5.1822786211510685e-12,,,,558.9672903289975,5.048572540283203,0,funnel_row,benchmarks/artifacts/task034/phase_e/records/p4_h5_hybrid_m80_same_sha_mpi4_a6f5a0d.json
m_funnel_p4_h5_m120,4,5.0,Hybrid,120,4,s,p4_h5_m_funnel_pass,measured_mode_funnel,a6f5a0de0a64d4af46a198878fa21ff7298f38d0,,100520,,240,100840,,562270960.0,0.0007663132345365006,0.602677529588597,0.39655615717686654,0.3965561571888132,0.0007571876307456262,4.329417880284879e-27,0.0007571876307456262,0.6026497797471894,1.3009212490677362e-26,0.6026497797471894,5.7257227164184466e-12,,,,634.1935662830001,5.497772216796875,0,funnel_row,benchmarks/artifacts/task034/phase_e/records/p4_h5_hybrid_m120_same_sha_mpi4_a6f5a0d.json
m_funnel_p4_h5_m160,4,5.0,Hybrid,160,4,s,p4_h5_m_funnel_pass,measured_mode_funnel,a6f5a0de0a64d4af46a198878fa21ff7298f38d0,,100520,,320,100920,,562270960.0,0.0007663132345355869,0.6026775295886211,0.39655615717684334,0.39655615718010045,0.0007571876307440458,9.288336350604796e-26,0.0007571876307440458,0.6026497797472119,6.301934803311072e-26,0.6026497797472119,7.030695397122771e-12,,,,734.2175627489996,5.961402893066406,0,funnel_row,benchmarks/artifacts/task034/phase_e/records/p4_h5_hybrid_m160_same_degree_closure_mpi4_a6f5a0d.json
mpi_p3_h5_full3d_mpi1,3,5.0,Full3D,,1,s,mpi_identity_pass,measured_mpi_identity,2e944c957b95d95139490ce8c2d151089467e7bb,1680,145863,80,,145943,35566727.0,,0.001090107012034979,0.6006224782934476,0.39828741469451745,0.39828741469453954,,,,,,,1.2650450103755494e-10,,,,1050.5189426659927,6.339725494384766,0,representative_mpi_identity_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_full3d_mpi_identity_1_8_16_32_2e944c9_beta_schema_fix_candidate.json
mpi_p3_h5_full3d_mpi8,3,5.0,Full3D,,8,s,mpi_identity_pass,measured_mpi_identity,2e944c957b95d95139490ce8c2d151089467e7bb,1680,145863,80,,145943,35566727.0,,0.001090107012034979,0.6006224782934476,0.39828741469451745,0.39828741469453954,,,,,,,8.304968883227355e-12,,,,150.5113784619898,9.013885498046875,0,representative_mpi_identity_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_full3d_mpi_identity_1_8_16_32_2e944c9_beta_schema_fix_candidate.json
mpi_p3_h5_full3d_mpi16,3,5.0,Full3D,,16,s,mpi_identity_pass,measured_mpi_identity,2e944c957b95d95139490ce8c2d151089467e7bb,1680,145863,80,,145943,35566727.0,,0.001090107012034979,0.6006224782934476,0.39828741469451745,0.39828741469453954,,,,,,,1.1428012116275753e-11,,,,72.97056970300036,11.358722686767578,0,representative_mpi_identity_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_full3d_mpi_identity_1_8_16_32_2e944c9_beta_schema_fix_candidate.json
mpi_p3_h5_full3d_mpi32,3,5.0,Full3D,,32,s,mpi_identity_pass,measured_mpi_identity,2e944c957b95d95139490ce8c2d151089467e7bb,1680,145863,80,,145943,35566727.0,,0.001090107012034979,0.6006224782934476,0.39828741469451745,0.39828741469453954,,,,,,,6.911946887831288e-12,,,,41.94845431500289,15.772567749023438,0,representative_mpi_identity_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_full3d_mpi_identity_1_8_16_32_2e944c9_beta_schema_fix_candidate.json
mpi_p3_h5_hybrid_mpi1,3,5.0,Hybrid,160,1,s,mpi_identity_pass,measured_mpi_identity,4f1cec96890af6a91770281d800e968b5740ac9a,,,,320,,,,0.0010900956852670917,0.6006223682212232,0.39828753609350975,0.3982875360956707,,,,,,,6.418009611031225e-12,,,,431.0716448840103,1.2447738647460938,0,representative_mpi_identity_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_hybrid_mpi_identity_1_8_16_32_4f1cec9_qualified.json
mpi_p3_h5_hybrid_mpi8,3,5.0,Hybrid,160,8,s,mpi_identity_pass,measured_mpi_identity,4f1cec96890af6a91770281d800e968b5740ac9a,,,,320,,,,0.0010900956852670917,0.6006223682212232,0.39828753609350975,0.3982875360956707,,,,,,,1.1635106976942109e-11,,,,144.69150158199773,4.900310516357422,0,representative_mpi_identity_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_hybrid_mpi_identity_1_8_16_32_4f1cec9_qualified.json
mpi_p3_h5_hybrid_mpi16,3,5.0,Hybrid,160,16,s,mpi_identity_pass,measured_mpi_identity,4f1cec96890af6a91770281d800e968b5740ac9a,,,,320,,,,0.0010900956852670917,0.6006223682212232,0.39828753609350975,0.3982875360956707,,,,,,,3.3967054735750233e-12,,,,134.13195394199283,7.149570465087891,0,representative_mpi_identity_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_hybrid_mpi_identity_1_8_16_32_4f1cec9_qualified.json
mpi_p3_h5_hybrid_mpi32,3,5.0,Hybrid,160,32,s,mpi_identity_pass,measured_mpi_identity,4f1cec96890af6a91770281d800e968b5740ac9a,,,,320,,,,0.0010900956852670917,0.6006223682212232,0.39828753609350975,0.3982875360956707,,,,,,,3.787906702429209e-12,,,,201.09742040900164,12.087821960449219,0,representative_mpi_identity_pass,benchmarks/artifacts/task034/phase_f/records/p3_h5_hybrid_mpi_identity_1_8_16_32_4f1cec9_qualified.json
supplemental_p2_h1_full3d,2,1.0,Full3D,,8,s,not_run_by_conservative_resource_gate_after_assembly,measured_assembly_and_predicted_factorization_upper_bound,9937747c0f69f0e07e7320081add3abf037a4315,,,,,4379832,461122320,,,,,,,,,,,,,,,,,67.92290115356445,0,not_available_factorization_launched_false_full_solve_launched_false,benchmarks/artifacts/task034/phase_f/records/p2_h1_assembly_mpi8_69b807c_s.json
supplemental_p2_h1_hybrid_m160,2,1.0,Hybrid,160,8,s,timeout_during_field_recovery_no_official_solution,measured_watchdog_outcome,9937747c0f69f0e07e7320081add3abf037a4315,,,,,,,,,,,,,,,,,,,,,,7200.0,95.87872314453125,0,not_available,benchmarks/artifacts/task034/phase_f/records/p2_h1_s_hybrid_m160_mpi8_9937747.json
supplemental_p3_h2_full3d,3,2.0,Full3D,,8,s,not_run_by_conservative_resource_gate_after_assembly,measured_assembly_and_predicted_factorization_upper_bound,b93d59c11d7625291824f216db1d431585319ed5,,,,,2047298,488789000,,,,,,,,,,,,,1334.645345338009,,,,64.01494979858398,0,not_available_factorization_launched_false_full_solve_launched_false,benchmarks/artifacts/task034/phase_f/records/p3_h2_assembly_mpi8_b93d59c_s.json
supplemental_p3_h2_hybrid_m160,3,2.0,Hybrid,160,8,s,measured_shard_pass_no_m_funnel_no_full3d_closure,measured_watchdog_outcome,f7924f52584b801c48930477a7f9ce4e4bb4a2db,,,,,,,,0.0007644666706485172,0.6026901281858537,0.3965454051434978,0.3965454051452797,,,,,,,3.612598615400456e-11,,,,3513.818175653025,49.641502380371094,0,not_available,benchmarks/artifacts/task034/phase_f/records/p3_h2_s_hybrid_m160_mpi8_f7924f5_attempt2.json
supplemental_p4_h3_full3d,4,3.0,Full3D,,8,s,not_run_by_conservative_resource_gate_after_assembly,measured_assembly_and_predicted_factorization_upper_bound,19f0366a65152821b8fde60d8fbd9b0a4bc1d0a2,,,,,1540028,696091072,,,,,,,,,,,,,3035.1390509350167,,,,80.53771209716797,0,not_available_factorization_launched_false_full_solve_launched_false,benchmarks/artifacts/task034/phase_f/records/p4_h3_assembly_mpi8_19f0366_s.json
supplemental_p4_h3_hybrid_m160,4,3.0,Hybrid,160,8,s,measured_shard_pass_no_m_funnel_no_full3d_closure,measured_watchdog_outcome,9db1a8a92572945eaf597073aece1d43acac8a5b,,,,,,,,0.000762184540382242,0.6027063009698126,0.39653151448980517,0.3965315144925095,,,,,,,2.924258423793585e-11,,,,3662.6851105609967,42.481407165527344,0,not_available,benchmarks/artifacts/task034/phase_f/records/p4_h3_s_hybrid_m160_mpi8_9db1a8a.json
